Order_ID,Order_Date,Store_Name,City,State,Category,Sub_Category,Product_Name,Quantity_Sold,Unit_Price,Sales,Cost,Profit,Customer_Type,Payment_Mode
ORD000001,13-09-2025,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Household,Cleaning Supplies,Surf Excel Detergent 1kg,4,145.83,583.32,491.84,91.48,Regular,Card
ORD000002,24-11-2024,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Personal Care,Bath & Body,Dettol Soap Pack of 4,4,159.4,637.6,522.58,115.02,Regular,Card
ORD000003,26-10-2025,D-Mart Delhi Rohini,Delhi,Delhi,Grocery,Tea & Coffee,Nescafe Classic Coffee 200g,8,289.47,2315.76,1818.91,496.85,Regular,Cash
ORD000004,06-07-2025,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Personal Care,Hair Care,Parachute Hair Oil 500ml,4,215.4,861.6,670.22,191.38,Regular,UPI
ORD000005,28-03-2024,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Grocery,Atta & Flour,Fortune Chakki Atta 10kg,1,462.58,462.58,402.02,60.56,Regular,Card
ORD000006,14-12-2025,D-Mart Delhi Rohini,Delhi,Delhi,Fashion,Footwear,Men's Sports Shoes,1,1706.61,1706.61,1158.15,548.46,Regular,UPI
ORD000007,01-09-2025,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Grocery,Edible Oil,Fortune Sunflower Oil 1L,2,164.97,329.94,287.56,42.38,New,UPI
ORD000008,25-09-2025,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Grocery,Beverages,Frooti 1L,4,68.38,273.52,223.94,49.58,New,UPI
ORD000009,29-04-2024,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Household,Home Decor,LED String Lights,4,210.1,840.4,591.53,248.87,Regular,UPI
ORD000010,29-11-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Fashion,Women's Wear,Women's Kurti,3,748.43,2245.29,1397.24,848.05,Regular,Card
ORD000011,30-10-2024,D-Mart Delhi Dwarka,Delhi,Delhi,Grocery,Rice & Pulses,India Gate Basmati Rice 5kg,5,520.46,2602.3,2351.93,250.37,Regular,UPI
ORD000012,20-11-2025,D-Mart Delhi Rohini,Delhi,Delhi,Grocery,Beverages,Frooti 1L,8,62.62,500.96,428.52,72.44,Regular,UPI
ORD000013,15-05-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Spices,MDH Garam Masala 100g,7,83.33,583.31,474.69,108.62,Regular,UPI
ORD000014,12-10-2025,D-Mart Pune Hadapsar,Pune,Maharashtra,Grocery,Edible Oil,Saffola Gold Oil 1L,4,174.87,699.48,636.3,63.18,New,Card
ORD000015,26-11-2024,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Personal Care,Skin Care,Ponds Cold Cream 200g,4,191.78,767.12,610.69,156.43,Regular,Cash
ORD000016,03-08-2024,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Tea & Coffee,Nescafe Classic Coffee 200g,3,290.4,871.2,727.71,143.49,Regular,Card
ORD000017,22-02-2025,D-Mart Pune Hadapsar,Pune,Maharashtra,Fashion,Men's Wear,Men's Cotton Casual Shirt,1,969.56,969.56,640.73,328.83,New,UPI
ORD000018,02-03-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Household,Storage & Organizers,Plastic Storage Box 20L,2,485.33,970.66,714.24,256.42,Regular,UPI
ORD000019,14-10-2025,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Tea & Coffee,Tata Tea Gold 1kg,10,518.83,5188.3,4351.73,836.57,Regular,UPI
ORD000020,03-05-2025,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Personal Care,Bath & Body,Lux Body Wash 250ml,3,182.22,546.66,438.63,108.03,Regular,Cash
ORD000021,30-08-2025,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Household,Storage & Organizers,Plastic Storage Box 20L,2,584.89,1169.78,860.94,308.84,New,Cash
